YEAR,Plant Id,Combined Heat And Power Plant,Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,EIA Sector Number,Sector Name,NAICS Code,Reported Prime Mover,Reported Fuel Type Code,MER Fuel Type Code,Balancing Authority Code,Physical Unit Label,Tot_MMBtu January,Elec_MMBtu January,Netgen January,Tot_MMBtu February,Elec_MMBtu February,Netgen February,Tot_MMBtu March,Elec_MMBtu March,Netgen March,Tot_MMBtu April,Elec_MMBtu April,Netgen April,Tot_MMBtu May,Elec_MMBtu May,Netgen May,Tot_MMBtu June,Elec_MMBtu June,Netgen June,Tot_MMBtu July,Elec_MMBtu July,Netgen July,Tot_MMBtu August,Elec_MMBtu August,Netgen August,Tot_MMBtu September,Elec_MMBtu September,Netgen September,Tot_MMBtu October,Elec_MMBtu October,Netgen October,Tot_MMBtu November,Elec_MMBtu November,Netgen November,Tot_MMBtu December,Elec_MMBtu December,Netgen December,Total Fuel Consumption MMBtu,Elec Fuel Consumption MMBtu,Net Generation (Megawatthours)
2023,6020,False,Perry,Energy Harbor Nuclear Generation LLC,64225.0,OH,ENC,RFC,2,NAICS-22 Non-Cogen,22,ST,NUC,NUC,PJM,,4250968.0,4250968.0,406723.0,3820084.0,3820084.0,365497.0,0.0,0.0,-6309.0,3017400.0,3017400.0,288698.0,9812084.0,9812084.0,938798.0,9396648.0,9396648.0,899050.0,9539753.0,9539753.0,912742.0,7511162.0,7511162.0,718651.0,9261716.0,9261716.0,886140.0,9822065.0,9822065.0,939753.0,9622604.0,9622604.0,920669.0,9934390.0,9934390.0,950500.0,85988874,85988874,8220912.0
2023,6022,False,Braidwood Generation Station,Constellation Nuclear,55951.0,IL,ENC,RFC,2,NAICS-22 Non-Cogen,22,ST,NUC,NUC,PJM,,9488017.0,9488017.0,907792.0,8569998.0,8569998.0,819958.0,9476238.0,9476238.0,906665.0,9146339.0,9146339.0,875101.0,9375493.0,9375493.0,897026.0,8967332.0,8967332.0,857974.0,9173952.0,9173952.0,877743.0,9199475.0,9199475.0,880185.0,8978055.0,8978055.0,859000.0,9380332.0,9380332.0,897489.0,9164389.0,9164389.0,876828.0,9481516.0,9481516.0,907170.0,110401136,110401136,10562931.0
2023,6022,False,Braidwood Generation Station,Constellation Nuclear,55951.0,IL,ENC,RFC,2,NAICS-22 Non-Cogen,22,ST,NUC,NUC,PJM,,9183735.0,9183735.0,878679.0,8297197.0,8297197.0,793857.0,9154627.0,9154627.0,875894.0,5794305.0,5794305.0,554386.0,4969589.0,4969589.0,475479.0,8692335.0,8692335.0,831663.0,8896176.0,8896176.0,851166.0,8916661.0,8916661.0,853126.0,8720503.0,8720503.0,834358.0,9117387.0,9117387.0,872331.0,8893835.0,8893835.0,850942.0,9184832.0,9184832.0,878784.0,99821182,99821182,9550665.0
2023,6023,False,Byron Generating Station,Constellation Nuclear,55951.0,IL,ENC,RFC,2,NAICS-22 Non-Cogen,22,ST,NUC,NUC,PJM,,9368334.0,9368334.0,896341.0,8394461.0,8394461.0,803163.0,3167174.0,3167174.0,303028.0,9030356.0,9030356.0,864004.0,9256709.0,9256709.0,885661.0,8887282.0,8887282.0,850315.0,9141991.0,9141991.0,874685.0,9130253.0,9130253.0,873562.0,8761725.0,8761725.0,838302.0,9265698.0,9265698.0,886521.0,9043305.0,9043305.0,865243.0,9353304.0,9353304.0,894903.0,102800592,102800592,9835728.0
2023,6023,False,Byron Generating Station,Constellation Nuclear,55951.0,IL,ENC,RFC,2,NAICS-22 Non-Cogen,22,ST,NUC,NUC,PJM,,9143924.0,9143924.0,874870.0,8255672.0,8255672.0,789884.0,9097937.0,9097937.0,870470.0,8746507.0,8746507.0,836846.0,9011762.0,9011762.0,862225.0,8675048.0,8675048.0,830009.0,8925086.0,8925086.0,853932.0,8923842.0,8923842.0,853813.0,8612850.0,8612850.0,824058.0,3258198.0,3258198.0,311737.0,8855707.0,8855707.0,847294.0,9142377.0,9142377.0,874722.0,100648910,100648910,9629860.0
2023,6026,False,LaSalle Generating Station,Constellation Nuclear,55951.0,IL,ENC,RFC,2,NAICS-22 Non-Cogen,22,ST,NUC,NUC,PJM,,9132114.0,9132114.0,873740.0,8249150.0,8249150.0,789260.0,9121119.0,9121119.0,872688.0,8652640.0,8652640.0,827865.0,8828929.0,8828929.0,844732.0,8578286.0,8578286.0,820751.0,8766700.0,8766700.0,838778.0,8794909.0,8794909.0,841477.0,8551529.0,8551529.0,818191.0,9002617.0,9002617.0,861350.0,8784081.0,8784081.0,840441.0,9058805.0,9058805.0,866726.0,105520879,105520879,10095999.0
2023,6026,False,LaSalle Generating Station,Constellation Nuclear,55951.0,IL,ENC,RFC,2,NAICS-22 Non-Cogen,22,ST,NUC,NUC,PJM,,8827801.0,8827801.0,844624.0,3163463.0,3163463.0,302673.0,6416195.0,6416195.0,613887.0,8701115.0,8701115.0,832503.0,8972599.0,8972599.0,858478.0,8582655.0,8582655.0,821169.0,8777998.0,8777998.0,839859.0,8803103.0,8803103.0,842261.0,8588570.0,8588570.0,821735.0,9014019.0,9014019.0,862441.0,8781186.0,8781186.0,840164.0,9079259.0,9079259.0,868683.0,97707963,97707963,9348477.0
2023,6034,False,Belle River,DTE Electric Company,5109.0,MI,ENC,RFC,1,Electric Utility,22,GT,NG,NG,MISO,mcf,18440.0,18440.0,1207.0,52082.0,52082.0,3881.0,32813.0,32813.0,2412.0,138461.0,138461.0,11258.0,321713.0,321713.0,23531.0,196746.0,196746.0,16218.0,396927.0,396927.0,30549.0,392562.0,392562.0,29751.0,53757.0,53757.0,3978.0,274475.0,274475.0,21462.0,87730.0,87730.0,7591.0,15465.0,15465.0,1006.0,1981171,1981171,152844.0
2023,6034,False,Belle River,DTE Electric Company,5109.0,MI,ENC,RFC,1,Electric Utility,22,IC,DFO,DFO,MISO,barrels,6.0,6.0,-45.0,0.0,0.0,-42.0,6.0,6.0,-45.0,0.0,0.0,-37.0,6.0,6.0,-34.0,6.0,6.0,-29.0,508.0,508.0,20.0,442.0,442.0,12.0,0.0,0.0,-30.0,0.0,0.0,-34.0,184.0,184.0,-23.0,0.0,0.0,-42.0,1158,1158,-329.0
2023,6034,False,Belle River,DTE Electric Company,5109.0,MI,ENC,RFC,1,Electric Utility,22,ST,DFO,DFO,MISO,barrels,11166.0,11166.0,1027.772,8344.0,8344.0,737.761,20742.0,20742.0,1864.14,14876.0,14876.0,1380.71,25294.0,25294.0,1619.963,10962.0,10962.0,968.29,15976.0,15976.0,1438.847,14214.0,14214.0,1323.499,8481.0,8481.0,783.535,22910.0,22910.0,2096.403,21029.0,21029.0,1963.671,17099.0,17099.0,1560.816,191093,191093,16765.407
2023,6034,False,Belle River,DTE Electric Company,5109.0,MI,ENC,RFC,1,Electric Utility,22,ST,SUB,COL,MISO,short tons,7183142.0,7183142.0,661179.23,4945746.0,4945746.0,437304.24,5742605.0,5742605.0,516100.86,6135268.0,6135268.0,569457.29,417933.0,417933.0,26767.037,4275766.0,4275766.0,377681.71,5475306.0,5475306.0,493115.15,6684992.0,6684992.0,622452.5,5717619.0,5717619.0,528222.47,5100296.0,5100296.0,466716.6,6266686.0,6266686.0,585176.33,6057572.0,6057572.0,552935.18,64002931,64002931,5837108.6
2023,6035,False,Greenwood (MI),DTE Electric Company,5109.0,MI,ENC,RFC,1,Electric Utility,22,GT,NG,NG,MISO,mcf,33121.0,33121.0,2453.0,37627.0,37627.0,3171.0,0.0,0.0,-153.0,235331.0,235331.0,19601.0,114644.0,114644.0,9861.0,220672.0,220672.0,16809.0,388334.0,388334.0,30712.0,301484.0,301484.0,24689.0,77608.0,77608.0,6122.0,159622.0,159622.0,12531.0,33952.0,33952.0,2680.0,4.0,4.0,-117.0,1602399,1602399,128359.0
2023,6035,False,Greenwood (MI),DTE Electric Company,5109.0,MI,ENC,RFC,1,Electric Utility,22,ST,DFO,DFO,MISO,barrels,0.0,0.0,-0.618,583.0,583.0,14.775,0.0,0.0,0.0,332.0,332.0,33.896,192.0,192.0,17.282,484.0,484.0,43.025,233.0,233.0,20.535,337.0,337.0,31.379,483.0,483.0,44.528,297.0,297.0,28.415,47.0,47.0,2.919,87.0,87.0,7.427,3075,3075,243.563
2023,6035,False,Greenwood (MI),DTE Electric Company,5109.0,MI,ENC,RFC,1,Electric Utility,22,ST,NG,NG,MISO,mcf,0.0,0.0,-1195.382,33706.0,33706.0,854.225,436.0,436.0,-1192.0,1565388.0,1565388.0,159670.1,1016893.0,1016893.0,91359.718,917299.0,917299.0,81574.975,1434742.0,1434742.0,126645.47,2104606.0,2104606.0,195776.62,1368965.0,1368965.0,126275.62,865482.0,865482.0,82669.585,94680.0,94680.0,5922.081,334872.0,334872.0,28426.573,9737069,9737069,896787.58
2023,6035,False,Greenwood (MI),DTE Electric Company,5109.0,MI,ENC,RFC,1,Electric Utility,22,ST,RFO,RFO,MISO,barrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1158.0,1158.0,106.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1158,1158,106.855
2023,6035,False,Greenwood (MI),DTE Electric Company,5109.0,MI,ENC,RFC,1,Electric Utility,22,ST,WO,WOO,MISO,barrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023,6036,False,Catawba,"Duke Energy Carolinas, LLC",5416.0,SC,SAT,SERC,1,Electric Utility,22,ST,NUC,NUC,DUK,,9180255.0,9180255.0,878346.0,8287738.0,8287738.0,792952.0,8985434.0,8985434.0,859706.0,4505343.0,4505343.0,431061.0,578139.0,578139.0,55315.0,8799508.0,8799508.0,841917.0,8996816.0,8996816.0,860795.0,8898078.0,8898078.0,851348.0,8510297.0,8510297.0,814246.0,9123052.0,9123052.0,872873.0,8900681.0,8900681.0,851597.0,9175990.0,9175990.0,877938.0,93941331,93941331,8988094.0
2023,6036,False,Catawba,"Duke Energy Carolinas, LLC",5416.0,SC,SAT,SERC,1,Electric Utility,22,ST,NUC,NUC,DUK,,9118150.0,9118150.0,872404.0,8211806.0,8211806.0,785687.0,9087694.0,9087694.0,869490.0,8774633.0,8774633.0,839537.0,9028861.0,9028861.0,863861.0,8707909.0,8707909.0,833153.0,8916944.0,8916944.0,853153.0,8903586.0,8903586.0,851875.0,8667628.0,8667628.0,829299.0,9034390.0,9034390.0,864390.0,8810472.0,8810472.0,842966.0,9109883.0,9109883.0,871613.0,106371956,106371956,10177428.0
2023,6038,False,McGuire,"Duke Energy Carolinas, LLC",5416.0,NC,SAT,SERC,1,Electric Utility,22,ST,NUC,NUC,DUK,,9283664.0,9283664.0,888240.0,8380403.0,8380403.0,801818.0,9254922.0,9254922.0,885490.0,8926047.0,8926047.0,854024.0,9214275.0,9214275.0,881601.0,8876234.0,8876234.0,849258.0,9058011.0,9058011.0,866650.0,9032383.0,9032383.0,864198.0,4281842.0,4281842.0,409677.0,1635469.0,1635469.0,156478.0,8966119.0,8966119.0,857858.0,9268687.0,9268687.0,886807.0,96178056,96178056,9202099.0
2023,6038,False,McGuire,"Duke Energy Carolinas, LLC",5416.0,NC,SAT,SERC,1,Electric Utility,22,ST,NUC,NUC,DUK,,9247930.0,9247930.0,884821.0,5040702.0,5040702.0,482283.0,0.0,0.0,-5859.0,6580015.0,6580015.0,629561.0,9160051.0,9160051.0,876413.0,8722227.0,8722227.0,834523.0,9060770.0,9060770.0,866914.0,8990012.0,8990012.0,860144.0,8710260.0,8710260.0,833378.0,9116478.0,9116478.0,872244.0,8899395.0,8899395.0,851474.0,9201482.0,9201482.0,880377.0,92729322,92729322,8866273.0
2023,6040,False,Beaver Valley,Energy Harbor Nuclear Generation LLC,64225.0,PA,MAT,RFC,2,NAICS-22 Non-Cogen,22,ST,NUC,NUC,PJM,,7322038.0,7322038.0,700556.0,6606270.0,6606270.0,632073.0,7147222.0,7147222.0,683830.0,7033611.0,7033611.0,672960.0,7239406.0,7239406.0,692650.0,6947342.0,6947342.0,664706.0,7089653.0,7089653.0,678322.0,7118552.0,7118552.0,681087.0,5982614.0,5982614.0,572403.0,6821493.0,6821493.0,652665.0,7073129.0,7073129.0,676741.0,7304646.0,7304646.0,698892.0,83685976,83685976,8006885.0
2023,6040,False,Beaver Valley,Energy Harbor Nuclear Generation LLC,64225.0,PA,MAT,RFC,2,NAICS-22 Non-Cogen,22,ST,NUC,NUC,PJM,,7174992.0,7174992.0,686487.0,6473564.0,6473564.0,619376.0,7179831.0,7179831.0,686950.0,1658881.0,1658881.0,158718.0,1637204.0,1637204.0,156644.0,6830617.0,6830617.0,653538.0,7030152.0,7030152.0,672629.0,7053428.0,7053428.0,674856.0,6864658.0,6864658.0,656795.0,7153409.0,7153409.0,684422.0,6967117.0,6967117.0,666598.0,7196606.0,7196606.0,688555.0,73220459,73220459,7005568.0
2023,6041,True,H L Spurlock,"East Kentucky Power Coop, Inc",5580.0,KY,ESC,SERC,1,Electric Utility,22,ST,BIT,COL,PJM,short tons,6311167.0,5719444.0,560028.07,4920952.0,4456055.0,435221.87,5412438.0,5007718.0,496171.98,5438706.0,5067446.0,499906.97,5165862.0,4872987.0,479684.17,5478985.0,5245683.0,517646.24,9009609.0,8561359.0,861773.99,9112462.0,8528458.0,859008.55,8137661.0,7802039.0,785598.94,5599342.0,5343157.0,533986.66,6668501.0,6322444.0,633818.84,7718309.0,7290877.0,730665.07,78973994,74217667,7393511.3
2023,6041,True,H L Spurlock,"East Kentucky Power Coop, Inc",5580.0,KY,ESC,SERC,1,Electric Utility,22,ST,DFO,DFO,PJM,barrels,2241.0,2031.0,198.831,8718.0,7895.0,771.075,13241.0,12250.0,1213.79,30398.0,28323.0,2794.066,21179.0,19978.0,1966.607,13043.0,12487.0,1232.247,4679.0,4446.0,447.576,6839.0,6400.0,644.648,768.0,737.0,74.165,733.0,700.0,69.934,15144.0,14358.0,1439.353,17262.0,16306.0,1634.144,134245,125911,12486.436
2023,6041,True,H L Spurlock,"East Kentucky Power Coop, Inc",5580.0,KY,ESC,SERC,1,Electric Utility,22,ST,TDF,OTH,PJM,short tons,82008.0,74319.0,7277.103,66134.0,59886.0,5849.059,28997.0,26829.0,2658.226,43365.0,40405.0,3985.969,96000.0,90557.0,8914.225,100780.0,96488.0,9521.511,109905.0,104437.0,10512.434,116104.0,108663.0,10944.804,109499.0,104983.0,10570.891,81081.0,77372.0,7732.408,55213.0,52348.0,5247.812,83544.0,78917.0,7908.788,972630,915204,91123.23
2023,6041,True,H L Spurlock,"East Kentucky Power Coop, Inc",5580.0,KY,ESC,SERC,1,Electric Utility,22,ST,WC,WOC,PJM,short tons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023,6041,True,H L Spurlock,"East Kentucky Power Coop, Inc",5580.0,KY,ESC,SERC,1,Electric Utility,22,ST,WDS,WWW,PJM,short tons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023,6064,False,Nearman Creek,City of Kansas City - (KS),9996.0,KS,WNC,MRO,1,Electric Utility,22,GT,DFO,DFO,SWPP,barrels,0.0,0.0,-6.185,4304.0,4304.0,277.062,0.0,0.0,-5.287,0.0,0.0,-3.392,2680.0,2680.0,212.485,0.0,0.0,0.0,162.0,162.0,13.099,0.0,0.0,0.0,5539.0,5539.0,432.127,0.0,0.0,0.0,10614.0,10614.0,822.66,0.0,0.0,-7.682,23299,23299,1734.887
2023,6064,False,Nearman Creek,City of Kansas City - (KS),9996.0,KS,WNC,MRO,1,Electric Utility,22,GT,NG,NG,SWPP,mcf,0.0,0.0,-55.815,2376.0,2376.0,152.938,0.0,0.0,-47.713,0.0,0.0,-30.608,96744.0,96744.0,7671.515,246975.0,246975.0,20151.0,201462.0,201462.0,16249.901,236888.0,236888.0,19137.0,150212.0,150212.0,11718.873,115635.0,115635.0,8964.0,21228.0,21228.0,1645.34,0.0,0.0,-69.318,1071520,1071520,85487.113
2023,6064,False,Nearman Creek,City of Kansas City - (KS),9996.0,KS,WNC,MRO,1,Electric Utility,22,ST,DFO,DFO,SWPP,barrels,15851.0,15851.0,1158.558,7285.0,7285.0,576.669,5504.0,5504.0,489.083,87.0,87.0,-1541.0,1496.0,1496.0,-1499.0,10863.0,10863.0,981.412,4367.0,4367.0,399.072,3381.0,3381.0,303.612,9558.0,9558.0,823.874,2865.0,2865.0,253.247,7459.0,7459.0,659.329,0.0,0.0,-13.428,68716,68716,2591.428
